Signature,Time,Action,From,To,Amount,Flow,Value,Decimals,TokenAddress
w5ChHDLecLJ7siviFHgqDMhA5buz5KkeCAjK6wLLi81toNbe4RNY79d2uHNuMjYDgKaMyNscKzLGLJgNrVevTLw,1741334603,TRANSFER,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,8s8VfgLUiW6ybQNz9BYcdYtKAWkPqFU9unJ5r6uSdzCH,99990000000,out,14411.56,9,SOL
2MPGT4jAfVjRWfzdBRVV76wQg9tH6YZ6XTveDxGieCAwmKvgokUzFdDPrMdsvRXkSVdF6JRX7RouZEQ9FmbY6Qpf,1741334444,TRANSFER,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,ExXViDpzjBGGnRvRF31JQGKMRaHAr1TEr6gx6aeu7LQd,64990000000,out,9367.01,9,SOL
58fVkqEsqFeitCvmSJmiaCxF49cnRgRrf5GWgWHNxRto5gWmH1xFwf6hFm64BZeQRQH5R5hUkqQyXDay93w7CPaU,1741334415,TRANSFER,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,5WXNcu7Qk5qBE7aSGGDuVsQh5Mj8yS7JWqNBZEDikbUj,60300000000,out,8691.04,9,SOL
22AvDMVZDEvTcy8wCyYNHCcJPnno6xjm5MD8sBRugf6iwNirsuE6KrWNZvYTpKtetSVnSBWZM8nMbADhqAFa58LC,1741334003,TRANSFER,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,6RxFcY4N8ngr4FvYw22iAcSZHyaiPxmUc2usE3irDdrN,69990000000,out,10078.56,9,SOL
4Y59WqxnguAiD2bUqHt65KDd32jCeLKZH9UPu1oL9H4RPSKmKpgUTbMoS6Fbwh9QTPRpeEJSTEwL2Fp6sYLdipvZ,1741333943,TRANSFER,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,Acm37agbUdAFTvAW3qXDKP36ehCDMPUMhXeMjiisFvA3,69990000000,out,10078.56,9,SOL
2nGq4C5CjMehpGhpZmsFKLdPT4YcEQ3fh8G2xTwRQPJXp8vYQmp1pRwBopKvrYAZoK1cV9xQNPyStfynrXLE6ikC,1741333899,TRANSFER,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,5DF2umfPJB4vLjGybBQZHor61CaDGiGjGzLgBx4PMLZJ,61990000000,out,8926.56,9,SOL
4NvW6ihPyaqrXiUqN6WCj5TiZPZdVptdWEdY6LNEqvgM2Wz3EcckAeMo5rTh6pAXutsahesR7UdJgUSyucciZp26,1741332852,TRANSFER,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,2QZN73D4fDHTeXrSTrNiQaeabJfoQt9K7Jff4h4oNxAA,99990000000,out,14404.56,9,SOL
5nSLNs6JY2kwg6ZKzkKzbNYRjzMx1Ls9wPFUTiiiQUs1gR2nS87fQdDji6W6QfspMwXB8rCq7bbkecQ9XSgQJdwA,1741332824,TRANSFER,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,GhvFqmfKPzCnvsmAnU4YtgqKVQ3B897D1cBAg4RVYASq,99990000000,out,14404.56,9,SOL
3yCxGZ6R6XbzND3iLnp3ggP7fTeB4pX9VTAAq6CJgSgbb2NdqQYQLFJ7cJet8LMZ29tJxps7sxnNiq2CnZzHiAvy,1741330919,TRANSFER,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,F7scm6Qc7rDkoNxZAfrJinnSNbqhGRhs6pMvViLkDiDc,64990000000,out,9329.96,9,SOL
39o2Pn7SXLNU8nGWs6zKCDuTBKq3XcEatc3oT3SraXtKzYtq2SdUH5WfdRk75C2ATjbpBoWf2c3hio8tNL7s7nje,1741330063,TRANSFER,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,HpJQJGqrKwjpRGu27N4hipDqje7KW5vYWdUPZRMBExGa,64990000000,out,9296.17,9,SOL
22BpmMrWcLNEpNEoaEcqtY8gSQnDaTojnvBxsPc9ZUfPjs9ztdWZQs5A1xWz7EVNbFqAZhcVsp7rus1RMk3sju9t,1741329338,TRANSFER,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,A7ZbXpoAFJrGFS1roSpcyLcZwQWgKZuA6Z8h4XoKryU4,64990000000,out,9271.47,9,SOL
2fSS7tQC4o3SchCaeiuKNf3oDneNU7phAJRurtB3CEe5A7wjgLbxt5S8VDnmS66xt37PRq2EaYy3fkJKmLTR6uVX,1741327693,TRANSFER,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,3uztLnYrQWMaWv9GPTQr4XKnCrKbXu7ZbiteBV3GKXNa,64990000000,out,9289.67,9,SOL
2YDc7k8UYzrzHQU5hyhcfYaHa29irqYPysKtgNQQ6utzYoD7u48f5JbMyPS5HcTia4vXGr25jVBJxXPEM2K7KAmb,1741326403,TRANSFER,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,88thq8s8ExaxMGvuzWfnwBexnDbbYgWCfh5CnKe9Jhek,64990000000,out,9266.92,9,SOL
5fiN6z7fTiycxn9oyd2igsTkc4JWcDn5N7rpzkM8ayNY6MCbVmvJTTNnbqPs3D7cKaHja5JUh35XTn4eqYsGbHRN,1741326383,TRANSFER,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,DhZitDuTvGCCgY77FbAtsyenwRSadxfHQLqcyjRJknWs,64990000000,out,9266.92,9,SOL
5cKaUaebBd39iwWpPb4YgFLAA7ktMTNG6fpbW8wccr1nFsVqBUcmm3uTyBvFL7RHAC4DQJ3xaht9c9wWo56avRKT,1741321223,TRANSFER,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,5gLt4DdHvxZHUyvmtoQ4QaDskqzbvEv3CeBCVHZQuW7L,99990000000,out,14123.59,9,SOL
